用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈,
相手方,あいてがた,1,opponent,対審手続の場合,検察官、被告人又は弁護人が証人、鑑定人、通訳人又は翻訳人の尋問を請求するについては、あらかじめ、相手方に対し、その氏名及び住居を知る機会を与えなければならない,"When requesting examination of a witness, expert witness, interpreter or translator, the public prosecutor, the accused or a counsel of the accused must give the opponent an opportunity to know the name and address of that person in advance.",刑事訴訟法299条,,
相手方,あいてがた,2,the other party/other parties,一般的な場合,委任は、当事者の一方が法律行為をすることを相手方に委託し、相手方がこれを承諾することによって、その効力を生ずる,"A mandate becomes effective when one of the parties asks the other party to perform a juridical act, and the other party accepts.",民法643条,,
相手方,あいてがた,3,opposite party,一般的な場合,差止請求に係る相手方の債務の履行,performance of obligations of the opposite party involved in a demand for an injunction,消費者契約法28条,,
相手方,あいてがた,4,counterparty,契約などの相手方,代理権を有しない者がした契約は、本人が追認をしない間は、相手方が取り消すことができる,A contract concluded by a person without any authority to represent may be rescinded by the counterparty until the principal ratifies it,民法115条,,
相手方,あいてがた,5,adverse party,対立当事者の場合,特許権又は専用実施権の侵害に係る訴訟において、当該特許が特許無効審判により無効にされるべきものと認められるときは、特許権者又は専用実施権者は、相手方に対しその権利を行使することができない,"Where, in litigation concerning the infringement of a patent right or an exclusive registered right to work, the said patent is recognized as one that should be invalidated by a trial for patent invalidation, the rights of the patentee or the holder of the exclusive registered right to work may not be exercised against the adverse party.",特許法104条の3,,
青色事業専従者,あおいろじぎょうせんじゅうしゃ,,family employees of a blue return taxpayer,,,,,,
青色申告,あおいろしんこく,,blue return,,,,,,
悪意で,あくいで,1,in bad faith,,,,,【注】法律用語としての「悪意」を翻訳するとknowinglyまたはwith knowledgeとなる。しかし、法文英語にknowinglyまたはwith knowledgeをそのまま使うと誤解を招く構造になってしまうことが多い。疑問がある場合には安全のためにin bad faith を使った方が無難である。例外的に、単に「知っている」の意ではなく、「害意」に近い意味の場合がある（破産法２５３条１項２号等）。その場合にも、in bad faithを用いる。,
悪意で,あくいで,2,knowingly,単なる認識を含む場合,,,,,
悪意で,あくいで,3,with knowledge,単なる認識を含む場合,,,,,
悪意で,あくいで,4,maliciously,害意に近い意味の場合,,,,,
悪意で,あくいで,5,with malice,害意に近い意味の場合,,,,,
明渡し,あけわたし,1,vacation,不動産の自主的明渡しの場合,,,,,
明渡し,あけわたし,2,eviction,不動産の強制的明渡しの場合,,,,,
あっせん,あっせん,1,arrangement,盗品のあっせん,前項に規定する物を運搬し、保管し、若しくは有償で譲り受け、又はその有償の処分のあっせんをした者は…,"A person who transports, retains or receives with compensation or arranges disposal for compensation, property provided for in the preceding paragraph …",刑法第256条,,
あっせん,あっせん,2,influence,あっせん収賄,公務員が請託を受け、他の公務員に職務上不正な行為をさせるように、又は相当の行為をさせないようにあっせんすることの報酬として、賄賂を収受し、又はその要求若しくは約束をしたときは…,"A public officer who accepts, solicits or promises to accept a bribe as consideration for the influence which the official exerted or is to exert, in response to a request, upon another public officer so as to cause the other to act illegally or refrain from acting in the exercise of official duty…",刑法第197条の4,,
あっせん,あっせん,3,mediation,紛争解決のための手続,,,,【注】「あっせん」は、「第三者が紛争当事者間を仲介することにより、当事者間の自主的解決を援助、促進するための手続」である。「第三者が紛争当事者間を仲介し、双方の合意に基づく紛争解決を図る手続」である「調停」(conciliation)と一部重なるが、調停の方が積極的に当事者間に介入し、手続をリードしていくニュアンスがある。,
斡旋員,あっせんいん,,mediator,,,,,,
充てる,あてる,1,serve as,特定の者を役職に充てる場合,会長は、内閣総理大臣をもつて充てる,the Prime Minister serves as chairperson,,,
充てる,あてる,2,is appointed from among,ある範疇の者を役職に充てる場合,本部の長は、国務大臣をもって充てる,the chairperson of the headquarters is appointed from among the Ministers of State,,,
充てる,あてる,3,allocate,資金・日数等を割り当てる場合,経費に充てるため、基金を積み立てなければならない,must establish a fund to be allocated for covering the expenses,,,
争い,あらそい,,dispute,,,,,,
言渡し,いいわたし,1,sentencing,刑事の場合,刑の言渡し,sentencing,,,
言渡し,いいわたし,2,rendering,刑事の場合,刑の言渡し,rendering of sentence,,,
言渡し,いいわたし,3,pronouncement,民事の場合,判決言渡し,pronouncement of judgment,,,
言渡し,いいわたし,4,rendering,民事の場合,判決言渡し,rendering of judgment,,,
委員会設置会社,いいんかいせっちかいしゃ,,company with committees,,,,,,
…以下,…いか,1,… or less,原則,,,,,
…以下,…いか,2,not more than …,上限を示すことに重点がある場合,３年以下の,for not more than 3 years,,,
以下「…」という,いか「…」という,,"hereinafter referred to as ""…""",,,,,,
以下同じ,いかおなじ,,the same applies hereinafter,,,,,,
以下この…において同じ,いかこの…においておなじ,,hereinafter the same applies in this …,,,,,,
遺棄,いき,,abandonment,,,,,,
異議,いぎ,1,objection,原則,,,,,
異議,いぎ,2,opposition,"「登録異議」など手続について""opposition""を使う場合",,,,,
異議後の判決,いぎごのはんけつ,,judgment subsequent to objection,,,,,,
異議者,いぎしゃ,1,denying party,,,,,,
異議者,いぎしゃ,2,disputing party,,,,,,
異議のある債権,いぎのあるさいけん,,disputed claim,,,,,,
異議の申立て,いぎのもうしたて,1,filing of an objection,書面による異議の場合,,,,,
異議の申立て,いぎのもうしたて,2,raising of an objection,口頭での異議の場合,,,,,
異議の申出,いぎのもうしで,1,(filing of an) objection,書面による異議の場合,,,,,
異議の申出,いぎのもうしで,2,(raising of an) objection,口頭での異議の場合,,,,,
異議申立書,いぎもうしたてしょ,,written objection,,,,,,
異議申立人,いぎもうしたてにん,1,a person filing an objection,書面による意義の場合,,,,,
異議申立人,いぎもうしたてにん,2,a person raising an objection,口頭での意義の場合,,,,,
異議申立人,いぎもうしたてにん,3,opponent,"「登録異議」など手続について""opposition""を使う場合",,,,,
育児,いくじ,,childcare,,,,,,
育児休業,いくじきゅうぎょう,,childcare leave,,,,,,
意見,いけん,,opinion,,,,,,
意見書,いけんしょ,,written opinion,,,,,,
意見聴取,いけんちょうしゅ,1,hearing of opinions,,,,,,
意見聴取,いけんちょうしゅ,2,hearing,,,,,,
意見を述べる,いけんをのべる,,state one's opinion,,,,,,
遺言,いごん,,will,,,,,,
遺言執行者,いごんしっこうしゃ,,executor,,,,,,
遺言者,いごんしゃ,,testator,,,,,,
遺言書,いごんしょ,,will,,,,,,
遺産,いさん,,estate,,,,,,
遺産の分割,いさんのぶんかつ,,division of estate,,,,,,
意思,いし,1,intent,,,,,,
意思,いし,2,intention,,,,,,
遺失物,いしつぶつ,,lost property,,,,,,
意思能力,いしのうりょく,,mental capacity,,,,,,
意思表示,いしひょうじ,,manifestation of intention,,,,,,
慰謝料,いしゃりょう,,solatium,,,,,【注】（出典）所得税法施行令30条,
囲障,いしょう,,fence,,,,,,
意匠,いしょう,,design,,,,,,
…以上,いじょう,1,… or more,原則,２０歳以上,20 years of age or more,,,
